valid_miles,transport_type,weight,pickup_date,origin_kma,destination_kma,predicted_rate
649.5779,MKPFX,13382.3,2022-09-22 08:42:00,DUXGP,VCEUE,4.548521276160944
130.076,MKPFX,33300.0,2022-09-22 08:42:00,NNJFK,BKBAJ,9.865338996191777
130.076,MKPFX,33300.0,2022-09-22 08:42:00,NNJFK,BKBAJ,9.865338996191777
376.6327,MKPFX,33300.0,2022-09-22 08:42:00,NNJFK,QAHLZ,4.230479184678295
656.1728,MKPFX,38994.3,2022-09-22 08:42:00,TXLFD,ZSLFG,5.318404350525139
703.948,MKPFX,39608.0,2022-09-22 08:42:00,DNDBK,MJGXM,4.333659642791273
1031.6815,MKPFX,33300.0,2022-09-22 08:42:00,HRQLD,NNJFK,6.444193908888362
581.128,MKPFX,6106.25,2022-09-22 08:42:00,QWBPO,RCDSS,3.1790435828546597
109.695,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,QGHCU,11.60650631832168
710.2937,MKPFX,26602.5,2022-09-22 08:42:00,MJGXM,DNDBK,3.92573329630132
703.948,MKPFX,39608.0,2022-09-22 08:42:00,DNDBK,MJGXM,4.333659642791273
264.733,MKPFX,17150.0,2022-09-22 08:42:00,VKUUR,BFTJT,6.2936072178926175
2310.6917,MKPFX,38994.3,2022-09-22 08:42:00,JHFLR,NUTZC,3.12578314963454
2310.6917,MKPFX,38994.3,2022-09-22 08:42:00,JHFLR,NUTZC,3.12578314963454
914.1838,MKPFX,38050.0,2022-09-22 08:42:00,GFKMC,ZSZDM,7.366933415288587
1048.1199,MKPFX,38994.3,2022-09-22 08:42:00,JHFLR,TXLFD,4.541865488024713
703.948,MKPFX,39608.0,2022-09-22 08:42:00,DNDBK,MJGXM,4.333659642791273
1583.6151,MKPFX,41835.75,2022-09-22 08:42:00,DNDBK,ZSZDM,4.396973449165968
228.8838,MKPFX,41503.25,2022-09-22 08:42:00,DNDBK,VCEUE,4.779335803750143
317.599,GJROY,14300.0,2022-09-22 08:42:00,PEXPT,PNBXA,6.847341610142291
674.3021,MKPFX,37681.4,2022-09-22 08:42:00,JHFLR,MJJOV,3.8556301042675147
781.1822,KFEGT,44035.0,2022-09-22 08:42:00,MJGXM,SZJLZ,4.326707063734912
297.04,MKPFX,22802.5,2022-09-22 08:42:00,DLGVW,EQJKI,2.60509067575358
458.664,MKPFX,6836.8,2022-09-22 08:42:00,GRIOF,QUERU,5.78321845728334
2319.0576,MKPFX,33300.0,2022-09-22 08:42:00,HRQLD,PEXPT,5.571523834021113
640.3931,MKPFX,41850.0,2022-09-22 08:42:00,XNCMK,IZYJN,5.530437566405545
1234.3346,KFEGT,43275.0,2022-09-22 08:42:00,MJGXM,ZSLFG,4.183041640164073
710.2937,MKPFX,26527.45,2022-09-22 08:42:00,MJGXM,DNDBK,3.91742989244695
228.8838,MKPFX,41503.25,2022-09-22 08:42:00,DNDBK,VCEUE,4.779335803750143
241.86,MKPFX,14147.05,2022-09-22 08:45:35,VCEUE,OMSVL,3.6383633281242123
90.5244,MKPFX,19050.0,2022-09-22 09:12:00,ZSZDM,OIANS,9.156117987852506
201.098,MKPFX,14699.95,2022-09-22 09:19:18,VCEUE,OMSVL,4.170051524004988
57.363,MKPFX,21132.4,2022-09-22 10:42:00,JESUD,NTODX,10.2753430639353
239.368,MKPFX,20212.8,2022-09-22 10:42:00,GRIOF,NTODX,4.005836872998966
457.2044,MKPFX,11450.0,2022-09-22 10:42:00,RUEXZ,KWGZQ,6.943449096272001
116.815,MKPFX,13130.55,2022-09-22 10:42:00,GFSKU,NTODX,5.534546472245205
204.925,MKPFX,7680.4,2022-09-22 11:42:00,WZUHV,NTODX,4.404736150928499
1693.9485,MKPFX,5663.9299,2022-09-22 12:42:00,MJGXM,HTFOW,3.1548498510700087
80.592,MKPFX,27270.35,2022-09-22 12:42:00,QGHCU,QUERU,8.205458991402455
297.1735,MKPFX,16199.05,2022-09-22 12:42:00,BQMUZ,NTODX,4.2898981634490765
159.802,MKPFX,8298.85,2022-09-22 13:12:00,WZUHV,NTODX,5.537734259911432
66.174,MKPFX,12514.0,2022-09-22 13:42:00,PEXPT,QUERU,9.801543172970549
156.598,MKPFX,10425.9,2022-09-22 13:42:00,FPZNC,NTODX,5.807141137049765
260.817,MKPFX,12888.3,2022-09-22 13:42:00,CTJQI,NTODX,4.412340146477278
70.98,MKPFX,10988.3,2022-09-22 13:42:00,QGHCU,QUERU,9.062617523679885
93.1588,MKPFX,8541.1,2022-09-22 13:42:00,PEXPT,QUERU,7.765782215099188
156.242,MKPFX,8837.5,2022-09-22 13:42:00,NHDWT,NTODX,5.761603840490656
70.98,MKPFX,12187.2,2022-09-22 13:42:00,QGHCU,QUERU,9.090854751332998
271.497,MKPFX,17816.9,2022-09-22 13:42:00,EKGTE,NTODX,4.556474419470884
191.842,MKPFX,10754.6,2022-09-22 13:42:00,CFBLH,NTODX,5.809221771752658
147.164,MKPFX,42591.0,2022-09-22 13:42:00,CFBLH,NTODX,7.490326382275002
84.419,MKPFX,11966.8,2022-09-22 13:42:00,QGHCU,QUERU,8.00564765889811
814.0232,MKPFX,11379.0348,2022-09-22 13:42:00,XNCMK,URQTI,6.2019491755077745
240.614,MKPFX,15097.05,2022-09-22 13:42:00,GRIOF,NTODX,4.21186850508709
70.446,MKPFX,11111.8,2022-09-22 14:12:00,QGHCU,QUERU,9.25644351656449
1743.913,MKPFX,15662.4892,2022-09-22 14:12:00,XNCMK,HRQLD,2.620632512660426
262.0452,MKPFX,33171.75,2022-09-22 14:42:00,ZSZDM,QUERU,3.2768631293678845
65.64,MKPFX,9991.75,2022-09-22 14:42:00,PEXPT,QUERU,9.929856964672517
234.562,MKPFX,36691.5,2022-09-22 14:42:00,MJJOV,NTODX,5.377906477041323
70.446,MKPFX,11777.75,2022-09-22 14:42:00,QGHCU,QUERU,9.282397714924057
116.815,MKPFX,20698.25,2022-09-22 14:42:00,GFSKU,NTODX,7.298502803077541
147.164,MKPFX,42363.95,2022-09-22 14:42:00,CFBLH,NTODX,7.574226886621265
1640.495,MKPFX,6890.0,2022-09-22 14:42:00,QCLHO,KMMBI,3.0174503179894248
240.614,MKPFX,16530.6,2022-09-22 14:42:00,GRIOF,NTODX,4.292386607828423
397.432,MKPFX,13644.5,2022-09-22 14:57:00,VCEUE,OUHDS,5.465721984689106
174.22,MKPFX,8201.95,2022-09-22 15:12:00,FPZNC,NTODX,5.625992581516867
240.614,MKPFX,13743.3,2022-09-22 15:42:00,GRIOF,NTODX,4.302164987753914
155.174,MKPFX,4974.8,2022-09-22 15:42:00,EEEAA,NTODX,5.548942013057773
176.9434,MKPFX,17267.8,2022-09-22 15:42:00,DRRUD,NTODX,5.218469392137152
72.226,MKPFX,20607.05,2022-09-22 15:42:00,PEXPT,QUERU,9.233816078469982
156.242,MKPFX,8556.3,2022-09-22 15:42:00,NHDWT,NTODX,5.7737123478643655
162.116,MKPFX,22728.4,2022-09-22 15:42:00,FPZNC,NTODX,5.492269982557259
240.614,MKPFX,9013.25,2022-09-22 15:42:00,GRIOF,NTODX,4.312662556363582
271.497,MKPFX,18613.0,2022-09-22 15:42:00,EKGTE,NTODX,4.496666223506107
203.768,MKPFX,23322.15,2022-09-22 15:42:00,SZJLZ,NTODX,4.874657158615469
569.914,MKPFX,41850.0,2022-09-22 15:42:00,JESUD,IUNUS,6.7096412561176555
130.877,MKPFX,10327.1,2022-09-22 15:42:00,RJGHA,QUERU,7.707538217641542
646.3561,MKPFX,38295.4785,2022-09-22 15:42:00,PNBXA,DUXGP,4.85089540698893
1784.23,MKPFX,38050.0,2022-09-22 15:42:00,DUXGP,KMMBI,2.6378731521346466
1019.5153,MKPFX,16580.0,2022-09-22 15:42:00,HRQLD,NNJFK,5.898759613341332
405.709,MKPFX,41850.0,2022-09-22 15:42:00,JESUD,RCDSS,6.881187598167897
851.777,MKPFX,41850.0,2022-09-22 15:42:00,JESUD,VCEUE,5.596536650568748
66.708,GJROY,5858.3,2022-09-22 15:42:00,HRQLD,AWWEE,14.735182464748279
166.744,MKPFX,5800.35,2022-09-22 15:42:00,NHDWT,NTODX,5.532245112788536
255.922,MKPFX,39089.3,2022-09-22 16:12:00,MJJOV,NTODX,4.979449290366355
370.287,MKPFX,6594.55,2022-09-22 16:12:00,YXTDU,NTODX,3.922796496281535
259.749,MKPFX,24271.2,2022-09-22 16:12:00,ZSZDM,QUERU,3.2064882086483957
166.744,MKPFX,6476.75,2022-09-22 16:12:00,NHDWT,NTODX,5.532968880139176
70.09,MKPFX,15512.2,2022-09-22 16:42:00,OQOLJ,QUERU,9.308707624723194
259.126,MKPFX,13898.15,2022-09-22 16:42:00,CTJQI,NTODX,4.493982499662172
556.119,MKPFX,15012.5,2022-09-22 16:42:00,VCEUE,GKKOS,2.160253954867443
156.598,MKPFX,11788.2,2022-09-22 16:42:00,FPZNC,NTODX,5.882958940550847
199.0955,MKPFX,15005.85,2022-09-22 16:42:00,DRRUD,NTODX,4.994862663740253
79.257,MKPFX,17920.45,2022-09-22 16:42:00,QGHCU,QUERU,8.197446633441546
240.614,MKPFX,17851.1,2022-09-22 16:42:00,GRIOF,NTODX,4.327669845185737
147.164,MKPFX,42591.0,2022-09-22 16:42:00,CFBLH,NTODX,7.67171021071505
915.7858,MKPFX,5702.5,2022-09-22 16:42:00,HQWLT,KWGZQ,4.099402640940987
1802.9822,MKPFX,8315.0,2022-09-22 16:42:00,HRQLD,KPOER,6.309647370695474
1809.8976,MKPFX,24842.15,2022-09-22 16:42:00,AWWEE,KPOER,6.0543535302428815
2065.5769,MKPFX,15485.6,2022-09-22 16:42:00,NUTZC,KPOER,5.411480049461426
32.0069,MKPFX,39950.0,2022-09-22 16:42:00,HRQLD,AWWEE,22.3342770016408
333.8682,MKPFX,6927.05,2022-09-22 16:42:00,TVZUE,MJGXM,6.183640099108094
340.6767,MKPFX,10796.4,2022-09-22 16:42:00,EPXAM,DRRUD,6.233210280785759
166.744,MKPFX,6047.35,2022-09-22 17:12:00,NHDWT,NTODX,5.538629699349395
271.497,MKPFX,17446.4,2022-09-22 17:12:00,EKGTE,NTODX,4.615520985250622
70.268,MKPFX,13510.55,2022-09-22 17:12:00,QGHCU,QUERU,9.836066016562349
166.744,MKPFX,7470.45,2022-09-22 17:42:00,NHDWT,NTODX,5.531813340265673
91.1118,MKPFX,22835.75,2022-09-22 17:42:00,GFKMC,NTODX,7.911096175197964
79.257,MKPFX,16581.9,2022-09-22 17:42:00,QGHCU,QUERU,8.23323251995824
1022.0963,MKPFX,12922.1196,2022-09-22 17:42:00,HRQLD,NNJFK,5.96972004415792
260.817,MKPFX,9293.5,2022-09-22 17:42:00,CTJQI,NTODX,4.425738129450194
156.598,MKPFX,10842.95,2022-09-22 17:42:00,FPZNC,NTODX,5.915448243357883
147.164,MKPFX,42591.0,2022-09-22 17:42:00,CFBLH,NTODX,7.705584982106295
141.735,MKPFX,18810.6,2022-09-22 17:42:00,FPZNC,NTODX,5.875567505470669
308.1116,MKPFX,18330.85,2022-09-22 17:42:00,ZSZDM,QUERU,3.207580101614663
1381.06,MKPFX,41850.0,2022-09-22 17:42:00,SQSHO,GKKOS,2.7704888869461937
144.1736,MKPFX,8488.85,2022-09-22 17:42:00,IZYJN,QUERU,8.985954590718254
397.966,MKPFX,13474.45,2022-09-22 17:42:00,LHDSM,QUERU,3.73947545052407
1361.4088,MKPFX,19050.0,2022-09-22 17:42:00,UKWZA,FDBUH,3.9244784538518287
2065.5769,MKPFX,5809.85,2022-09-22 17:42:00,NUTZC,KPOER,5.422813695825679
960.3125,MKPFX,10513.3,2022-09-22 17:42:00,HRQLD,NNJFK,7.091328139316592
915.7858,MKPFX,7764.0,2022-09-22 17:42:00,HQWLT,KWGZQ,4.095402259547557
392.003,MKPFX,42494.2225,2022-09-22 17:42:00,QUERU,QWBPO,4.016372194495685
276.392,MKPFX,15585.35,2022-09-22 17:42:00,ZSZDM,QUERU,3.16731825826189
1809.8976,MKPFX,16578.1,2022-09-22 17:42:00,AWWEE,KPOER,6.062779935222707
166.744,MKPFX,6393.15,2022-09-22 18:12:00,NHDWT,NTODX,5.536607501586241
141.735,MKPFX,9518.65,2022-09-22 18:12:00,FPZNC,NTODX,5.920397478445633
245.153,MKPFX,11294.2,2022-09-22 18:12:00,PNBXA,QUERU,5.689469408399432
173.5169,MKPFX,8115.5,2022-09-22 18:42:00,QWBPO,FPZNC,7.063921557925452
335.9419,MKPFX,8292.2,2022-09-22 18:42:00,QWBPO,EWHXH,5.801764513387996
1345.7893,MKPFX,5967.55,2022-09-22 18:42:00,GRIOF,EQJKI,4.352975877740352
189.5102,MKPFX,20000.0,2022-09-22 18:42:00,OQOLJ,EJLNQ,7.8413306075184295
1500.2755,MKPFX,12145.4,2022-09-22 18:42:00,NUTZC,KWGZQ,4.9438707841225416
898.1193,MKPFX,23760.1,2022-09-22 18:42:00,HRQLD,ZSLFG,5.429823798048416
1979.5226,MKPFX,14423.5,2022-09-22 18:42:00,HRQLD,GRIOF,5.508326600694854
231.002,MKPFX,15045.75,2022-09-22 18:42:00,VCEUE,OUHDS,5.545134144315552
70.268,MKPFX,14560.3,2022-09-22 19:12:00,QGHCU,QUERU,10.238650312210432
162.116,MKPFX,7544.55,2022-09-22 19:42:00,FPZNC,NTODX,5.47220941938534
1825.1967,MKPFX,9550.0,2022-09-22 19:42:00,AWWEE,FPZNC,5.024059634205374
162.116,MKPFX,42066.6,2022-09-22 19:42:00,FPZNC,NTODX,5.466188198723231
873.9202,MKPFX,17990.75,2022-09-22 19:42:00,KWGZQ,KMMBI,6.247876368970119
1909.3906,MKPFX,10939.85,2022-09-22 19:42:00,RONUZ,FPZNC,5.052009720218293
35.113,GJROY,32350.0,2022-09-22 19:42:00,HRQLD,AWWEE,18.74214329299415
122.155,MKPFX,34843.75,2022-09-22 20:12:00,OQOLJ,QUERU,5.867686258662286
355.6732,MKPFX,10353.7,2022-09-22 20:42:00,YXTDU,NTODX,3.768416401226071
160.692,MKPFX,33668.6,2022-09-22 20:42:00,UKWZA,KWGZQ,8.779501229496654
160.692,MKPFX,30926.9,2022-09-22 20:42:00,UKWZA,KWGZQ,8.653161026387886
1524.261,MKPFX,12028.55,2022-09-22 20:42:00,CBZDP,AWWEE,4.442661523777927
942.6282,MKPFX,25085.35,2022-09-22 20:42:00,OIANS,RUEXZ,3.3869785446244265
557.8723,MKPFX,7650.0,2022-09-22 20:42:00,PNBXA,MJJOV,5.163772102039015
821.5615,MKPFX,22759.75,2022-09-22 20:42:00,XNCMK,OMSVL,4.723325554926345
1011.2205,MKPFX,39950.0,2022-09-22 20:42:00,AWWEE,NNJFK,6.810578192990684
1011.2205,MKPFX,39950.0,2022-09-22 20:42:00,AWWEE,NNJFK,6.810578192990684
740.349,MKPFX,42325.0,2022-09-22 20:42:00,ZSZDM,DRRUD,3.3817785451502314
340.6767,MKPFX,10796.4,2022-09-22 20:42:00,EPXAM,DRRUD,6.268619291679511
41.165,MKPFX,35447.0,2022-09-22 20:42:00,QUERU,QUERU,18.439332691584575
628.5472,MKPFX,36416.0,2022-09-22 20:42:00,RCDSS,DRRUD,4.953727140312918
479.3031,MKPFX,18931.25,2022-09-22 20:42:00,AQUVM,FPZNC,4.669926405289665
803.094,MKPFX,9971.2304,2022-09-22 21:42:00,UKWZA,OKPES,3.8382367288022454
122.155,MKPFX,28492.05,2022-09-22 21:42:00,OQOLJ,QUERU,5.816181763889414
122.155,MKPFX,38171.6,2022-09-22 21:42:00,OQOLJ,QUERU,5.904786019555651
162.116,MKPFX,10215.95,2022-09-22 21:42:00,FPZNC,NTODX,5.475681788777408
1825.1967,MKPFX,9550.0,2022-09-22 21:42:00,AWWEE,FPZNC,5.001029002611397
636.397,MKPFX,38050.0,2022-09-22 21:42:00,NTODX,OKWUS,6.502264823030975
1383.9525,MKPFX,37100.0,2022-09-22 21:42:00,HECXW,XXIZJ,5.333111908601578
265.8366,MKPFX,41346.5,2022-09-22 21:42:00,YXTDU,DRRUD,5.804151244498565
42.2063,MKPFX,43221.8,2022-09-22 21:42:00,QUERU,OQOLJ,17.697767603403065
491.9678,MKPFX,41518.45,2022-09-22 21:42:00,QUERU,NPCXM,4.068846068760529
740.349,MKPFX,42325.0,2022-09-22 21:42:00,ZSZDM,DRRUD,3.3801563489287125
113.611,MKPFX,15117.0,2022-09-22 21:42:00,MJGXM,DUXGP,7.929304481283376
1205.997,MKPFX,7448.6,2022-09-22 21:42:00,VJBFX,QGIHN,4.391982667843141
1344.5078,MKPFX,41518.45,2022-09-22 21:42:00,QUERU,VCEUE,3.7554212697044544
2191.227,GJROY,35757.65,2022-09-22 21:42:00,NPCXM,AWWEE,2.8445066859333656
1386.133,GJROY,33080.55,2022-09-22 21:42:00,UXLVW,AWWEE,3.646332411902883
1230.294,MKPFX,41090.0,2022-09-22 21:42:00,VCEUE,HRQLD,2.3683538293230457
652.3458,MKPFX,20989.9,2022-09-22 21:42:00,QGHCU,DRRUD,3.336327419977355
303.982,MKPFX,28550.0,2022-09-22 21:42:00,HRQLD,NUTZC,6.583056812277371
377.0599,MKPFX,40261.6,2022-09-22 21:42:00,QUERU,OXDKT,5.489778141967561
557.8723,MKPFX,7650.0,2022-09-22 22:12:00,PNBXA,MJJOV,5.119303444173768
1825.1967,MKPFX,9550.0,2022-09-22 22:42:00,AWWEE,FPZNC,4.996104782528256
342.6169,MKPFX,14602.1,2022-09-22 22:42:00,QGIHN,LHDSM,6.070276015835335
1836.4908,MKPFX,17150.0,2022-09-22 22:42:00,HRQLD,EKGTE,5.649492979166401
901.3767,MKPFX,39950.0,2022-09-22 22:42:00,NTODX,ZSZDM,6.70590172130281
785.65,GJROY,41850.0,2022-09-22 22:42:00,NTODX,VCEUE,4.72955381482193
978.1214,MKPFX,19050.0,2022-09-22 22:42:00,BFHYB,QGHCU,6.046541508244746
1386.133,GJROY,33504.25,2022-09-22 22:42:00,UXLVW,AWWEE,3.6532830631206785
2651.8909,GJROY,16179.1,2022-09-22 22:42:00,ZSZDM,AWWEE,2.6995507294851704
487.322,MKPFX,39950.0,2022-09-22 22:42:00,DUXGP,UKOGN,4.557485870680866
2294.8051,GJROY,38643.75,2022-09-22 22:42:00,HQWLT,RONUZ,2.303541856709073
758.683,MKPFX,32806.95,2022-09-22 23:42:00,OKWUS,CUZBH,3.6322340904446406
753.61,MKPFX,36910.0,2022-09-22 23:42:00,RUEXZ,OQOLJ,6.549648239744772
772.033,MKPFX,30686.55,2022-09-22 23:42:00,OKWUS,CUZBH,3.6678636278504877
878.5571,GJROY,16139.2,2022-09-22 23:42:00,BKBAJ,AWWEE,3.9254367489739046
1909.3906,MKPFX,6810.2,2022-09-22 23:42:00,RONUZ,FPZNC,5.023416198933221
347.8857,GJROY,39950.0,2022-09-22 23:42:00,ZSZDM,OKWUS,5.40227770546481
649.658,MKPFX,13084.0,2022-09-23 00:12:00,XNCMK,JHFLR,4.790807610736236
818.0994,MKPFX,14908.95,2022-09-23 00:12:00,XNCMK,RJGHA,6.419480648176343
815.8477,MKPFX,11385.4,2022-09-23 00:12:00,XNCMK,RJGHA,6.482105689707104
385.417,MKPFX,35027.1,2022-09-23 00:42:00,DNDBK,KWGZQ,3.448429791376518
385.417,MKPFX,14433.0,2022-09-23 00:42:00,KWGZQ,DNDBK,3.457178079585287
444.4685,MKPFX,41104.25,2022-09-23 00:42:00,VCEUE,IAZJQ,2.2723299727995765
622.6376,MKPFX,20950.0,2022-09-23 00:42:00,OQOLJ,MJGXM,3.9426151600319344
2315.0705,MKPFX,14300.0,2022-09-23 00:42:00,OQOLJ,HRQLD,2.326805089146814
785.65,GJROY,41850.0,2022-09-23 00:42:00,NTODX,VCEUE,4.782248797417954
296.684,MKPFX,23800.0,2022-09-23 01:27:00,OMUOI,MJGXM,4.5425061475006
406.9995,MKPFX,15250.0,2022-09-23 01:42:00,QWBPO,MJJOV,3.429336085758163
406.9995,MKPFX,15250.0,2022-09-23 01:42:00,QWBPO,MJJOV,3.429336085758163
527.372,MKPFX,28550.0,2022-09-23 01:42:00,JESUD,UOIXN,5.884927750200253
347.8857,GJROY,39950.0,2022-09-23 02:42:00,ZSZDM,OKWUS,5.258695697807373
1301.1203,MKPFX,38994.3,2022-09-23 02:42:00,TXLFD,AWWEE,3.0099245295664554
945.4851,MKPFX,30450.0,2022-09-23 02:42:00,VKUUR,EQJKI,4.930632666872578
397.432,MKPFX,15559.7,2022-09-23 03:42:00,VCEUE,OUHDS,5.442238119050057
201.098,MKPFX,14391.2,2022-09-23 03:42:00,VCEUE,OMSVL,4.114784828984189
359.9007,MKPFX,15469.45,2022-09-23 03:42:00,VCEUE,IAZJQ,2.1871741796898476
339.404,MKPFX,14091.95,2022-09-23 03:42:00,VCEUE,PKGHG,4.114215591645274
248.891,MKPFX,14101.45,2022-09-23 03:42:00,VCEUE,OMSVL,3.5341020499189115
189.261,MKPFX,26942.6,2022-09-23 03:42:00,HRQLD,RONUZ,6.384650744341194
229.4801,MKPFX,14113.8,2022-09-23 03:42:00,VCEUE,OMSVL,3.7953813823123657
375.6359,MKPFX,42800.0,2022-09-23 03:42:00,JESUD,PNBXA,7.9548894040290605
263.0687,MKPFX,40900.0,2022-09-23 04:42:00,OKWUS,YFPKE,6.128914682671483
785.65,GJROY,41850.0,2022-09-23 04:42:00,NTODX,VCEUE,4.793575798068854
670.484,MKPFX,24750.0,2022-09-23 04:42:00,OQOLJ,RUEXZ,3.551765267251728
670.484,MKPFX,24750.0,2022-09-23 05:42:00,OQOLJ,RUEXZ,3.575613567093699
398.411,MKPFX,19050.0,2022-09-23 05:42:00,OQOLJ,GRIOF,4.229609401417927
146.4965,MKPFX,15603.4,2022-09-23 06:42:00,QGIHN,JHFLR,6.928851044468304
398.411,MKPFX,19050.0,2022-09-23 06:42:00,OQOLJ,GRIOF,4.217317410976936
152.6108,MKPFX,17636.4,2022-09-23 06:42:00,QGIHN,JHFLR,6.792320640848079
169.058,MKPFX,14300.0,2022-09-23 07:12:00,ZSZDM,QGHCU,6.6170275034144215
396.809,MKPFX,39172.9,2022-09-23 08:42:00,UKOGN,WWRQI,3.144210620789782
493.8902,GJROY,38050.0,2022-09-23 08:42:00,PEXPT,NPCXM,5.846509958903673
